,date,volume,company,Company No
0,2021-01-31,4313,3i,1
1,2021-01-31,954,a2a,2
2,2021-01-31,7096,aak_ab,3
3,2021-01-31,1117,aalberts_industries,4
4,2021-01-31,14084,ab_electrolux,5
5,2021-01-31,13135,ab_sagax,6
6,2021-01-31,198537,abb,7
7,2021-01-31,50246,abn_amro,8
8,2021-01-31,26200,abrdn_plc,9
9,2021-01-31,25948,acciona,10
10,2021-01-31,101078,accor,11
11,2021-01-31,1558,ackermans_van_haaren,12
12,2021-01-31,0,acs_actividades_de_construcción_y_servicios_sa,13
13,2021-01-31,5340,addtech_ab,14
14,2021-01-31,58568,adecco,15
15,2021-01-31,855324,adidas,16
16,2021-01-31,29235,admiral,17
17,2021-01-31,27994,adyen,18
18,2021-01-31,2264,aedifica,19
19,2021-01-31,33384,aegon_nv,20
20,2021-01-31,8819,aena,21
21,2021-01-31,21077,aeroports_de_paris,22
22,2021-01-31,8299,ageas,23
23,2021-01-31,52812,ahold_delhaize,24
24,2021-01-31,5607,aib_group_plc,25
25,2021-01-31,41451,air_liquide,26
26,2021-01-31,1146142,airbus,27
27,2021-01-31,60979,aixtron,28
28,2021-01-31,24468,aker_bp,29
29,2021-01-31,48347,akzonobel,30
30,2021-01-31,70790,alcon,31
31,2021-01-31,9199,alfa_laval,32
32,2021-01-31,2032,alfen_nv,33
33,2021-01-31,6435,alk_abello,34
34,2021-01-31,442,allegroeu,35
35,2021-01-31,3529,allfunds_group_plc,36
36,2021-01-31,612662,allianz,37
37,2021-01-31,2342,allreal,38
38,2021-01-31,77319,alstom,39
39,2021-01-31,46430,alten,40
40,2021-01-31,20712,amadeus,41
41,2021-01-31,21074,ambu_a_sb,42
42,2021-01-31,6831,amplifon,43
43,2021-01-31,129101,amundi,44
44,2021-01-31,39637,andritz,45
45,2021-01-31,145097,anglo_american,46
46,2021-01-31,274037,anheuser_busch,47
47,2021-01-31,48851,antofagasta,48
48,2021-01-31,148913,ap_moeller_maersk,49
49,2021-01-31,107,arcadis_nv,50
50,2021-01-31,142327,arcelormittal,51
51,2021-01-31,29750,argenx_se,52
52,2021-01-31,65685,arkema,53
53,2021-01-31,39626,aroundtown,54
54,2021-01-31,29484,ashtead,55
55,2021-01-31,41092,asm,56
56,2021-01-31,144695,asml,57
57,2021-01-31,2896,asr_nederland_nv,58
58,2021-01-31,6582,assa_abloy,59
59,2021-01-31,82532,associated_british_foods,60
60,2021-01-31,5449,assura_plc,61
61,2021-01-31,3225817,astrazeneca,62
62,2021-01-31,46335,atlas_copco,63
63,2021-01-31,62714,aurubis,64
64,2021-01-31,56614,auto_trader,65
65,2021-01-31,4704,avanza_bank_holding_ab,66
66,2021-01-31,134223,aviva,67
67,2021-01-31,129371,axa,68
68,2021-01-31,13380,axfood_ab,69
69,2021-01-31,9572,b_m_european_value_retail,70
70,2021-01-31,11921,bachem,71
71,2021-01-31,253062,bae_systems,72
72,2021-01-31,3540,bakkafrost,73
73,2021-01-31,46,balfour_beatty_plc,74
74,2021-01-31,17303,baloise,75
75,2021-01-31,124016,banco_bilbao_vizcaya_argentaria,76
76,2021-01-31,30755,banco_bpm_otc,77
77,2021-01-31,43853,banco_de_sabadell,78
78,2021-01-31,249565,banco_santander,79
79,2021-01-31,3719,bank_of_ireland_group_plc,80
80,2021-01-31,9975,bank_polska_kasa_opieki_sa,81
81,2021-01-31,17642,bankinter,82
82,2021-01-31,2417210,barclays,83
83,2021-01-31,33705,barratt_developments,84
84,2021-01-31,11147,barry_callebaut,85
85,2021-01-31,808812,basf,86
86,2021-01-31,7938,bavarian_nordic,87
87,2021-01-31,25998,bawag_group_ag,88
88,2021-01-31,560339,bayer,89
89,2021-01-31,4566,be_semiconductor_industries,90
90,2021-01-31,16113,beazley,91
91,2021-01-31,37345,bechtle,92
92,2021-01-31,117326,beiersdorf,93
93,2021-01-31,13943,beijer_ref_ab,94
94,2021-01-31,9952,belimo,95
95,2021-01-31,17557,bellway,96
96,2021-01-31,4335,big_yellow_group_plc,97
97,2021-01-31,4812,billerudkorsnas,98
98,2021-01-31,36261,biomerieux,99
99,2021-01-31,10590,bkw,100
100,2021-01-31,1591784,bmw,101
101,2021-01-31,584425,bnp_paribas,102
102,2021-01-31,19658,bollore,103
103,2021-01-31,33639,bouygues,104
104,2021-01-31,14570,bovis_homes,105
105,2021-01-31,546099,bp,106
106,2021-01-31,36630,brenntag,107
107,2021-01-31,119708,british_american_tobacco,108
108,2021-01-31,18229,british_land_co,109
109,2021-01-31,7064,britvic,110
110,2021-01-31,8502,brunello_cucinelli_spa,111
111,2021-01-31,271954,bt,112
112,2021-01-31,11605,bucher_industries,113
113,2021-01-31,20720,bunzl,114
114,2021-01-31,174543,burberry,115
115,2021-01-31,96765,bureau_veritas,116
116,2021-01-31,57744,caixabank,117
117,2021-01-31,156883,capgemini,118
118,2021-01-31,87016,carl_zeiss_meditec,119
119,2021-01-31,53985,carlsberg,120
120,2021-01-31,118874,carrefour,121
121,2021-01-31,3831,castellum,122
122,2021-01-31,24043,cellnex_telecom,123
123,2021-01-31,8179,cembra_money_bank,124
124,2021-01-31,32775,centrica,125
125,2021-01-31,14445,chr_hansen,126
126,2021-01-31,300174,christian_dior,127
127,2021-01-31,137406,cie_de_saint_gobain,128
128,2021-01-31,96849,cie_financiere_richemont,129
129,2021-01-31,68956,clariant,130
130,2021-01-31,146,close_bros,131
131,2021-01-31,94021,cnh_industrial,132
132,2021-01-31,20005,coca_cola_hbc,133
133,2021-01-31,1625,cofinimmo,134
134,2021-01-31,31563,coloplast,135
135,2021-01-31,517340,commerzbank,136
136,2021-01-31,46206,compass_group,137
137,2021-01-31,11143,computacenter_plc,138
138,2021-01-31,352071,continental,139
139,2021-01-31,37721,convatec,140
140,2021-01-31,159,corporacion_acciona_energias_renovables_sa,141
141,2021-01-31,125810,covestro,142
142,2021-01-31,115205,credit_agricole,143
143,2021-01-31,2150307,credit_suisse,144
144,2021-01-31,46318,crh,145
145,2021-01-31,68288,croda,146
146,2021-01-31,34167,cts_eventime,147
147,2021-01-31,13163,cybg,148
148,2021-01-31,2177,d_ieteren_sa,149
149,2021-01-31,1673236,daimler,150
150,2021-01-31,71972,danone,151
151,2021-01-31,91244,danske_bank,152
152,2021-01-31,45133,dassault_aviation,153
153,2021-01-31,0,dassault_systèmes_se,154
154,2021-01-31,1700,davide_campari_milano_nv,155
155,2021-01-31,168008,dcc,156
156,2021-01-31,20662,dechra_pharmaceuticals_plc,157
157,2021-01-31,157715,deliveryhero,158
158,2021-01-31,6852,derwent_london,159
159,2021-01-31,2175449,deutsche_bank,160
160,2021-01-31,509714,deutsche_boerse,161
161,2021-01-31,674164,deutsche_lufthansa,162
162,2021-01-31,292602,deutsche_post,163
163,2021-01-31,502468,deutsche_telekom,164
164,2021-01-31,178249,diageo,165
165,2021-01-31,19072,diasorin_otc,166
166,2021-01-31,1441,dino_polska_sa,167
167,2021-01-31,7150,diploma_plc,168
168,2021-01-31,75511,direct_line,169
169,2021-01-31,3888,dksh,170
170,2021-01-31,34513,dnb_bank_asa,171
171,2021-01-31,34743,dong_energy,172
172,2021-01-31,10753,drax_group_plc,173
173,2021-01-31,95690,ds_smith,174
174,2021-01-31,158221,dsm,175
175,2021-01-31,24765,dsv,176
176,2021-01-31,28910,dufry,177
177,2021-01-31,163932,e_on,178
178,2021-01-31,5062,edenred,179
179,2021-01-31,9241,edp_energias_de_portugal,180
180,2021-01-31,21709,edp_renovaveis,181
181,2021-01-31,12918,eiffage,182
182,2021-01-31,36678,electricite_de_france,183
183,2021-01-31,21059,electrocomponents_plc,184
184,2021-01-31,7861,elekta,185
185,2021-01-31,2596,elia_system_operator_sa_nv,186
186,2021-01-31,6728,elis,187
187,2021-01-31,26071,elisa,188
188,2021-01-31,11548,ems_chemie,189
189,2021-01-31,5326,enagas,190
190,2021-01-31,51467,encavis_ag,191
191,2021-01-31,2431,endesa,192
192,2021-01-31,92913,enel,193
193,2021-01-31,4233,energean_plc,194
194,2021-01-31,128796,engie,195
195,2021-01-31,166565,eni,196
196,2021-01-31,19996,epiroc_ab,197
197,2021-01-31,21018,eqt_ab,198
198,2021-01-31,136893,erste_group,199
199,2021-01-31,39360,essilor_international,200
200,2021-01-31,1267,essity_aktiebolagb,201
201,2021-01-31,19593,eurazeo,202
202,2021-01-31,64723,eurofins_scientific,203
203,2021-01-31,15235,euronav_nv,204
204,2021-01-31,28386,euronext,205
205,2021-01-31,5801,evolution_gaming_group,206
206,2021-01-31,215682,evonik,207
207,2021-01-31,89898,evotec,208
208,2021-01-31,8537,exor,209
209,2021-01-31,171753,experian,210
210,2021-01-31,3113,fabege,211
211,2021-01-31,2300,fastighets,212
212,2021-01-31,62029,faurecia,213
213,2021-01-31,36351,ferguson_plc,214
214,2021-01-31,977182,ferrari,215
215,2021-01-31,21200,ferrovial,216
216,2021-01-31,6769,finecobank,217
217,2021-01-31,15228,flughafen_zuerich,218
218,2021-01-31,1173,fonciere_des_regions,219
219,2021-01-31,3416,fortnox_ab,220
220,2021-01-31,53750,fortum,221
221,2021-01-31,29329,freenet,222
222,2021-01-31,92793,fresenius,223
223,2021-01-31,133447,fresenius_medical_care,224
224,2021-01-31,55059,fuchs_petrol,225
225,2021-01-31,88239,future_plc,226
226,2021-01-31,9996,galenica,227
227,2021-01-31,6852,galp_energia_sgps,228
228,2021-01-31,16589,games_workshop_group_plc,229
229,2021-01-31,22482,gas_natural,230
230,2021-01-31,80197,gea_group,231
231,2021-01-31,33414,geberit,232
232,2021-01-31,5520,gecina,233
233,2021-01-31,64531,generali,234
234,2021-01-31,43972,genmab,235
235,2021-01-31,9674,genus_plc,236
236,2021-01-31,24575,georg_fischer,237
237,2021-01-31,55998,getinge,238
238,2021-01-31,65863,givaudan,239
239,2021-01-31,4199,gjensidige_forsikring,240
240,2021-01-31,44052,glanbia,241
241,2021-01-31,604182,glaxosmithkline,242
242,2021-01-31,97699,glencore,243
243,2021-01-31,13059,gn_store_nord,244
244,2021-01-31,9039,grafton,245
245,2021-01-31,38429,greggs_plc,246
246,2021-01-31,42703,grifols_otc,247
247,2021-01-31,11871,groupe_bruxelles_lambert,248
248,2021-01-31,14459,groupe_eurotunnel,249
249,2021-01-31,10586,gtt,250
250,2021-01-31,14058,gvc,251
251,2021-01-31,34471,halma,252
252,2021-01-31,63191,hannover_rueck,253
253,2021-01-31,23643,harbour_energy_plc,254
254,2021-01-31,136315,hargreaves_lansdown,255
255,2021-01-31,11786,hays,256
256,2021-01-31,93541,heidelbergcement,257
257,2021-01-31,10991,heineken,258
258,2021-01-31,2518,heineken_holding,259
259,2021-01-31,155624,hellofresh,260
260,2021-01-31,8016,helvetia,261
261,2021-01-31,171573,henkel,262
262,2021-01-31,255912,hennes_mauritz,263
263,2021-01-31,8922,hera,264
264,2021-01-31,128706,hermes_international,265
265,2021-01-31,64597,hexagon,266
266,2021-01-31,3902,hexatronic_group_ab,267
267,2021-01-31,9393,hexpol,268
268,2021-01-31,41083,hikma,269
269,2021-01-31,28744,hiscox,270
270,2021-01-31,1422,holmen_ab,271
271,2021-01-31,9800,howden_joinery,272
272,2021-01-31,992553,hsbc,273
273,2021-01-31,97718,hugo_boss,274
274,2021-01-31,35936,huhtamaki,275
275,2021-01-31,46398,husqvarna,276
276,2021-01-31,85957,iberdrola,277
277,2021-01-31,82402,ig_group_holdings,278
278,2021-01-31,3305,imcd_nv,279
279,2021-01-31,24597,imi,280
280,2021-01-31,42514,imperial_brands,281
281,2021-01-31,9631,inchcape,282
282,2021-01-31,27886,indivior,283
283,2021-01-31,85589,industria_de_diseno_textil,284
284,2021-01-31,14994,industrivarden,285
285,2021-01-31,12960,indutrade,286
286,2021-01-31,341068,infineon,287
287,2021-01-31,74559,informa,288
288,2021-01-31,2348,infrastrutture_wireless_italiane_spa,289
289,2021-01-31,380118,ing,290
290,2021-01-31,807,inmobiliaria_colo_otc,291
291,2021-01-31,74916,intercontinental_hotels,292
292,2021-01-31,7871,intermediate_capital,293
293,2021-01-31,128117,international_consolidated_airlines,294
294,2021-01-31,3281,interpump_group,295
295,2021-01-31,71835,intertek,296
296,2021-01-31,78830,intesa_sanpaolo,297
297,2021-01-31,64832,investec,298
298,2021-01-31,45949,ipsen,299
299,2021-01-31,128913,iss,300
300,2021-01-31,6835,italgas,301
301,2021-01-31,794377,itv,302
302,2021-01-31,108857,j_sainsbury,303
303,2021-01-31,50757,jd_sports_fashion_plc,304
304,2021-01-31,442,jde_peet_s_bv,305
305,2021-01-31,2358,jeronimo_martins_sgps,306
306,2021-01-31,52141,johnson_matthey,307
307,2021-01-31,69217,julius_baer,308
308,2021-01-31,60412,just_eat_takeawaycom_nv,309
309,2021-01-31,8205,jyske_bank,310
310,2021-01-31,55144,k_s,311
311,2021-01-31,78346,kbc,312
312,2021-01-31,132501,kering,313
313,2021-01-31,79068,kerry,314
314,2021-01-31,5653,kesko,315
315,2021-01-31,17772,kghm,316
316,2021-01-31,46662,kingfisher,317
317,2021-01-31,25945,kingspan,318
318,2021-01-31,10126,kinnevik,319
319,2021-01-31,58763,kion,320
320,2021-01-31,5222,klepierre,321
321,2021-01-31,41840,knorr_bremse,322
322,2021-01-31,2227,kojamo_oyj,323
323,2021-01-31,26289,kone,324
324,2021-01-31,16002,kongsberg_gruppen_as,325
325,2021-01-31,13922,kpn,326
326,2021-01-31,68178,kuehne_nagel,327
327,2021-01-31,216684,l_oreal,328
328,2021-01-31,10465,la_francaise_des_jeux_saem,329
329,2021-01-31,102205,lafargeholcim,330
330,2021-01-31,21969,land_securities,331
331,2021-01-31,122681,lanxess,332
332,2021-01-31,182,latour_investment_ab,333
333,2021-01-31,39211,leg_immobilien,334
334,2021-01-31,145482,legal_general,335
335,2021-01-31,65805,legrand,336
336,2021-01-31,88146,leonardo,337
337,2021-01-31,2394,lifco_ab,338
338,2021-01-31,92882,linde_plc,339
339,2021-01-31,50379,lindt_spruengli,340
340,2021-01-31,188809,lloyds_banking,341
341,2021-01-31,160817,logitech,342
342,2021-01-31,1036658,london_stock_exchange,343
343,2021-01-31,6372,londonmetric_property_plc,344
344,2021-01-31,161073,lonza_group,345
345,2021-01-31,2156,lotus_bakeries_sa,346
346,2021-01-31,4471,lpp,347
347,2021-01-31,1073,lundbergs_abb_shs,348
348,2021-01-31,49816,man_group,349
349,2021-01-31,15197,marine_harvest,350
350,2021-01-31,207700,marks_spencer,351
351,2021-01-31,27059,mediobanca,352
352,2021-01-31,30864,melroseindustries,353
353,2021-01-31,438733,merck,354
354,2021-01-31,3122,merlin_properties_socimi,355
355,2021-01-31,32785,mg_plc,356
356,2021-01-31,283742,michelin,357
357,2021-01-31,7700,millicom_international_cellular_sa,358
358,2021-01-31,309550,moet_hennessy_louis_vuitton,359
359,2021-01-31,36265,moncler,360
360,2021-01-31,20018,mondi,361
361,2021-01-31,85889,mtu_aero_engines,362
362,2021-01-31,161323,muenchener_rueck,363
363,2021-01-31,0,national_grid_plc_npr,364
364,2021-01-31,47260,nel_asa,365
365,2021-01-31,43257,nemetschek,366
366,2021-01-31,29126,neste,367
367,2021-01-31,477206,nestle,368
368,2021-01-31,2588,netcompany_group_a_s,369
369,2021-01-31,22101,nexans,370
370,2021-01-31,7488,nexi_spa,371
371,2021-01-31,43320,next,372
372,2021-01-31,4081,nn,373
373,2021-01-31,364464,nokia,374
374,2021-01-31,42485,nordea_bank,375
375,2021-01-31,14096,nordic_semiconductor_asa,376
376,2021-01-31,7884,nordnet_ab_publ,377
377,2021-01-31,35956,norsk_hydro,378
378,2021-01-31,700127,novartis,379
379,2021-01-31,281196,novo_nordisk,380
380,2021-01-31,71464,novozymes,381
381,2021-01-31,75652,ocado,382
382,2021-01-31,12266,oci,383
383,2021-01-31,71316,omv,384
384,2021-01-31,112649,orange,385
385,2021-01-31,34457,orion,386
386,2021-01-31,9783,orkla,387
387,2021-01-31,7529,osb_group_plc,388
388,2021-01-31,12434,outotec,389
389,2021-01-31,20695,oxford_nanopore_technologies_limited,390
390,2021-01-31,91132,paddy_power_betfair,391
391,2021-01-31,28872,pandora,392
392,2021-01-31,1205917,partners_group,393
393,2021-01-31,118408,pearson,394
394,2021-01-31,5243,pennon,395
395,2021-01-31,76856,pernod_ricard,396
396,2021-01-31,19451,persimmon,397
397,2021-01-31,400645,philips,398
398,2021-01-31,45942,philips_lighting,399
399,2021-01-31,29161,phoenix,400
400,2021-01-31,7729,pko_bank,401
401,2021-01-31,7831,plkncnaftowy_orlen,402
402,2021-01-31,612746,porsche,403
403,2021-01-31,219706,porsche_automobil,404
404,2021-01-31,16526,poste_italiane,405
405,2021-01-31,4770,powszechny_zaklad_ubezpieczen_sa,406
406,2021-01-31,4034,primary_health_properties_plc,407
407,2021-01-31,23772,prosus_nv,408
408,2021-01-31,15708,prudential,409
409,2021-01-31,38079,prysmian,410
410,2021-01-31,33266,psp_swiss,411
411,2021-01-31,78616,publicis,412
412,2021-01-31,229935,puma,413
413,2021-01-31,206173,qiagen,414
414,2021-01-31,22473,qinetiq,415
415,2021-01-31,29774,randstad,416
416,2021-01-31,18202,rational,417
417,2021-01-31,129558,reckitt_benckiser,418
418,2021-01-31,7305,recordati,419
419,2021-01-31,5276,red_electrica,420
420,2021-01-31,80907,relx_plc,421
421,2021-01-31,17685,remy_cointreau,422
422,2021-01-31,623722,renault,423
423,2021-01-31,29404,rentokil_initial,424
424,2021-01-31,14125,reply,425
425,2021-01-31,92545,repsol,426
426,2021-01-31,9078,rexel,427
427,2021-01-31,208127,rheinmetal,428
428,2021-01-31,67250,rightmove,429
429,2021-01-31,3110,ringkj_bing_landbobank_as,430
430,2021-01-31,425928,rio_tinto,431
431,2021-01-31,717771,roche,432
432,2021-01-31,11241,rockwool_b,433
433,2021-01-31,352294,rolls_royce,434
434,2021-01-31,14293,rotork,435
435,2021-01-31,188580,royal_bank_of_scotland,436
436,2021-01-31,872449,royal_dutch_shell,437
437,2021-01-31,110160,royal_mail,438
438,2021-01-31,5999,royal_unibrew,439
439,2021-01-31,5488,rubis,440
440,2021-01-31,118335,rwe,441
441,2021-01-31,364802,ryanair,442
442,2021-01-31,259,saab_bofors_dynamics_switzerland_ltd,443
443,2021-01-31,4586,safestore_holdings_plc,444
444,2021-01-31,125086,safran,445
445,2021-01-31,66712,sage,446
446,2021-01-31,8803,salmar,447
447,2021-01-31,3372,samhallsbyggnadsbolaget_i_norden_ab,448
448,2021-01-31,12407,sampo,449
449,2021-01-31,31061,sandvik,450
450,2021-01-31,861552,sap,451
451,2021-01-31,163761,sartorius,452
452,2021-01-31,17451,sartorius_stedim_biotech,453
453,2021-01-31,13778,schindler,454
454,2021-01-31,288755,schneider_electric,455
455,2021-01-31,64764,schroders,456
456,2021-01-31,31953,scor,457
457,2021-01-31,24038,scottish_and_southern_energy_plc,458
458,2021-01-31,43338,scout24,459
459,2021-01-31,42423,seb,460
460,2021-01-31,9362,sectra_ab_publ,461
461,2021-01-31,38002,securitas,462
462,2021-01-31,18053,segro,463
463,2021-01-31,10256,serco_group_plc,464
464,2021-01-31,55968,ses,465
465,2021-01-31,24213,severn_trent,466
466,2021-01-31,48775,sgs,467
467,2021-01-31,7611,siegfried,468
468,2021-01-31,813305,siemens,469
469,2021-01-31,273013,siemens_energy,470
470,2021-01-31,288242,siemens_healthineers,471
471,2021-01-31,10905,sig_combibloc_group_ag,472
472,2021-01-31,114738,sika,473
473,2021-01-31,9347,simcorp_otc,474
474,2021-01-31,48764,skandinaviska_enskilda_banken,475
475,2021-01-31,40802,skanska,476
476,2021-01-31,30224,skf,477
477,2021-01-31,40858,smiths,478
478,2021-01-31,49471,smurfit_kappa,479
479,2021-01-31,17943,snam,480
480,2021-01-31,394895,societe_generale,481
481,2021-01-31,19925,sodexo,482
482,2021-01-31,3292,sofina,483
483,2021-01-31,8584,softcat_plc,484
484,2021-01-31,7849,soitec,485
485,2021-01-31,146199,solvay,486
486,2021-01-31,43443,sonova,487
487,2021-01-31,18305,sopra_steria_group,488
488,2021-01-31,11389,spectris,489
489,2021-01-31,2875,spie_sa,490
490,2021-01-31,20550,spirax_sarco,491
491,2021-01-31,15682,ssab_b,492
492,2021-01-31,11600,st_james_s_place,493
493,2021-01-31,267885,standard_chartered,494
494,2021-01-31,184871,statoil,495
495,2021-01-31,473854,stellantis_nv,496
496,2021-01-31,152300,stmicroelectronics,497
497,2021-01-31,39450,stora_enso,498
498,2021-01-31,5303,storebrand,499
499,2021-01-31,39043,straumann,500
500,2021-01-31,17674,subsea_7,501
501,2021-01-31,13260,svenska_cellulosa,502
502,2021-01-31,25488,svenska_handelsbanken,503
503,2021-01-31,64145,swatch,504
504,2021-01-31,7705,sweco_ab,505
505,2021-01-31,30747,swedbank,506
506,2021-01-31,27909,swedish_orphan_biovitrum,507
507,2021-01-31,38942,swiss_life,508
508,2021-01-31,9655,swiss_prime,509
509,2021-01-31,125111,swiss_re,510
510,2021-01-31,39635,swisscom,511
511,2021-01-31,47029,symrise,512
512,2021-01-31,24048,talanx,513
513,2021-01-31,47247,tate_lyle,514
514,2021-01-31,25903,taylor_wimpey,515
515,2021-01-31,15696,tecan,516
516,2021-01-31,13959,tele2,517
517,2021-01-31,71999,telecom_italia,518
518,2021-01-31,341429,telefonaktiebolaget_lm_ericsson,519
519,2021-01-31,76188,telefonica,520
520,2021-01-31,45328,telefonica_deutschland,521
521,2021-01-31,51706,telenor,522
522,2021-01-31,34751,teleperformance,523
523,2021-01-31,6203,telia,524
524,2021-01-31,34068,temenos,525
525,2021-01-31,16000,tenaris,526
526,2021-01-31,12065,terna_rete_elettrica_nazionale,527
527,2021-01-31,211949,tesco,528
528,2021-01-31,77035,thales,529
529,2021-01-31,2888,the_berkeley_group_holdings_plc,530
530,2021-01-31,4530,thule_group_ab,531
531,2021-01-31,136272,thyssenkrupp,532
532,2021-01-31,9126,tieto_oyj,533
533,2021-01-31,18018,tomra_systems_asa,534
534,2021-01-31,4417,topdanmark,535
535,2021-01-31,250968,total,536
536,2021-01-31,16750,travis_perkins,537
537,2021-01-31,12657,trelleborg,538
538,2021-01-31,3835,tritax_big_box_reit_plc,539
539,2021-01-31,6130,tryg,540
540,2021-01-31,219191,tui,541
541,2021-01-31,208263,ubisoft,542
542,2021-01-31,2186456,ubs,543
543,2021-01-31,49025,ucb,544
544,2021-01-31,18886,umicore,545
545,2021-01-31,36407,unibail_rodamco_westfield,546
546,2021-01-31,34006,unibet,547
547,2021-01-31,136352,unicredit,548
548,2021-01-31,215515,unilever,549
549,2021-01-31,9774,unite_group_plc,550
550,2021-01-31,55864,united_internet,551
551,2021-01-31,29035,united_utilities,552
552,2021-01-31,160282,universal_music_group,553
553,2021-01-31,23343,upm_kymmene,554
554,2021-01-31,82224,valeo,555
555,2021-01-31,10456,valmet_oyj,556
556,2021-01-31,35610,vantage_towers_ag,557
557,2021-01-31,20489,vat,558
558,2021-01-31,90092,veolia_environnement,559
559,2021-01-31,4427,verallia_sa,560
560,2021-01-31,20948,verbund_ag,561
561,2021-01-31,86737,vestas_wind_systems,562
562,2021-01-31,8576,victrex,563
563,2021-01-31,34255,vinci,564
564,2021-01-31,1749,viscofan,565
565,2021-01-31,90731,vivendi,566
566,2021-01-31,456482,vodafone,567
567,2021-01-31,24191,voestalpine,568
568,2021-01-31,2058121,volkswagen,569
569,2021-01-31,672386,volvo,570
570,2021-01-31,226425,vonovia,571
571,2021-01-31,36830,waadtlaendische_kantonalbank,572
572,2021-01-31,94428,wacker_chemie,573
573,2021-01-31,1319,wallenstam_b,574
574,2021-01-31,737,warehouses_de_pauw_sca,575
575,2021-01-31,42937,wartsila,576
576,2021-01-31,8223,watches_of_switzerland_group_plc,577
577,2021-01-31,25531,weir,578
578,2021-01-31,11313,wendel,579
579,2021-01-31,15577,whitbread,580
580,2021-01-31,15074,wienerberger,581
581,2021-01-31,1591,wihlborgs_fastigheter,582
582,2021-01-31,7764,william_demant,583
583,2021-01-31,14752,wise_plc,584
584,2021-01-31,89015,wolters_kluwer,585
585,2021-01-31,9841,worldline_sa,586
586,2021-01-31,65210,wpp,587
587,2021-01-31,43277,yara_international,588
588,2021-01-31,181415,zalando,589
589,2021-01-31,115524,zurich_insurance,590
